video,prompt
model00221.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00301.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01783.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01145.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model02140.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01364.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01389.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01551.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01255.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00935.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00807.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01691.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01448.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00483.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01659.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01451.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00295.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01467.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01395.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model02102.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01542.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model02045.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01132.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01189.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01898.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00457.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00027.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00361.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01041.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01539.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model02309.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00975.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01446.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01113.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model01449.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00783.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00132.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model02307.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
model00583.mp4,A matte gray untextured architectural massing model stands on a plain white background as the camera completes a smooth 360-degree orbit at a fixed elevation.
